# 10 seconds đầu
relative_time_s,packet_id,device_timestamp_us,emg
176.658380,261720,176658392,831
176.659056,261721,176659068,820
176.659728,261722,176659740,808
176.660404,261723,176660416,796
176.661080,261724,176661092,785
176.661756,261725,176661768,773
176.662428,261726,176662440,762
176.663104,261727,176663116,857
176.663780,261728,176663792,893
176.664456,261729,176664468,888
176.665128,261730,176665140,889
176.665804,261731,176665816,890
176.666480,261732,176666492,889
176.667156,261733,176667168,887
176.667828,261734,176667840,883
176.668504,261735,176668516,879
176.669180,261736,176669192,874
176.669856,261737,176669868,868
176.670528,261738,176670540,861
176.671204,261739,176671216,854
176.671880,261740,176671892,846
176.672556,261741,176672568,838
176.673228,261742,176673240,829
176.673904,261743,176673916,820
176.674580,261744,176674592,811
176.675256,261745,176675268,803
176.675928,261746,176675940,930
176.676604,261747,176676616,930
176.677280,261748,176677292,930
176.677956,261749,176677968,930
176.678628,261750,176678640,930
176.679304,261751,176679316,931
176.679980,261752,176679992,931
176.680656,261753,176680668,931
176.681328,261754,176681340,930
176.682004,261755,176682016,930
176.682680,261756,176682692,930
176.683356,261757,176683368,930
176.684036,261758,176684048,930
176.684704,261759,176684716,930
176.685380,261760,176685392,930
176.686056,261761,176686068,930
176.686728,261762,176686740,930
176.687404,261763,176687416,930
176.688080,261764,176688092,930
176.688756,261765,176688768,930
176.689428,261766,176689440,930
176.690104,261767,176690116,930
176.690780,261768,176690792,929
176.691456,261769,176691468,926
176.692128,261770,176692140,914
176.692804,261771,176692816,902
176.693480,261772,176693492,890
176.694156,261773,176694168,878
176.694828,261774,176694840,866
176.695504,261775,176695516,855
176.696180,261776,176696192,843
176.696856,261777,176696868,834
176.697528,261778,176697540,891
176.698204,261779,176698216,887
176.698880,261780,176698892,881
176.699556,261781,176699568,876
176.700228,261782,176700240,870
176.700904,261783,176700916,864
176.701580,261784,176701592,857
176.702256,261785,176702268,849
176.702928,261786,176702940,842
176.703604,261787,176703616,833
176.704280,261788,176704292,825
176.704956,261789,176704968,816
176.705628,261790,176705640,807
176.706304,261791,176706316,797
176.706980,261792,176706992,788
176.707656,261793,176707668,778
176.708328,261794,176708340,769
176.709004,261795,176709016,759
176.709680,261796,176709692,749
176.710356,261797,176710368,740
176.711028,261798,176711040,730
176.711704,261799,176711716,720
176.712380,261800,176712392,710
176.713056,261801,176713068,701
176.713736,261802,176713748,762
176.714404,261803,176714416,930
176.715080,261804,176715092,930
176.715756,261805,176715768,931
176.716428,261806,176716440,931
176.717104,261807,176717116,931
176.717780,261808,176717792,931
176.718456,261809,176718468,931
176.719128,261810,176719140,931
176.719804,261811,176719816,931
176.720480,261812,176720492,931
176.721156,261813,176721168,931
176.721828,261814,176721840,931
176.722504,261815,176722516,931
176.723180,261816,176723192,931
176.723856,261817,176723868,931
176.724528,261818,176724540,930
176.725204,261819,176725216,931
176.725880,261820,176725892,931
176.726556,261821,176726568,930
176.727228,261822,176727240,930
176.727904,261823,176727916,930
176.728580,261824,176728592,930
176.729256,261825,176729268,930
176.729928,261826,176729940,930
176.730604,261827,176730616,930
176.731280,261828,176731292,930
176.731956,261829,176731968,930
176.732628,261830,176732640,930
176.733304,261831,176733316,930
176.733980,261832,176733992,930
176.734656,261833,176734668,929
176.735328,261834,176735340,918
176.736004,261835,176736016,904
176.736680,261836,176736692,892
176.737356,261837,176737368,879
176.738028,261838,176738040,866
176.738704,261839,176738716,854
176.739380,261840,176739392,842
176.740056,261841,176740068,829
176.740728,261842,176740740,817
176.741404,261843,176741416,806
176.742080,261844,176742092,794
176.742756,261845,176742768,803
176.743432,261846,176743444,831
